Year,Foundry,Process Size,Transistors,Die Size,Production,GPU Clock,Memory Clock,Memory Size,Memory Type,Memory Bus,Bandwidth,TMUs,ROPs,Pixel Rate,Texture Rate,Slot Width,TDP,Outputs,Power Connectors,DirectX,OpenGL,Manufacturer,CORES,Shading Units,FP32 (float) performance,Shader Model
2011,TSMC,55 nm,378 million,135 mm²,End-of-life,796 MHz,"693 MHz
1386 Mbps effective",512 MB,GDDR3,128 bit,22.18 GB/s,8.0,4.0,3.184 GPixel/s,6.368 GTexel/s,Single-slot,65 W,"2x DVI
1x S-Video",None,10.1 (10_1),3.3,ATI,120,120.0,191.0 GFLOPS,4.1
2011,TSMC,55 nm,514 million,146 mm²,End-of-life,600 MHz,"667 MHz
1334 Mbps effective",1024 MB,GDDR3,128 bit,21.34 GB/s,32.0,8.0,4.800 GPixel/s,19.20 GTexel/s,Single-slot,55 W,"2x DVI
1x S-Video",,10.1 (10_1),3.3,ATI,320,320.0,384.0 GFLOPS,4.1
2011,TSMC,40 nm,292 million,59 mm²,End-of-life,650 MHz,"600 MHz
1200 Mbps effective",1024 MB,GDDR3,64 bit,9.600 GB/s,8.0,4.0,2.600 GPixel/s,5.200 GTexel/s,Single-slot,19 W,"1x DVI
1x HDMI 1.3a
1x VGA",,11.2 (11_0),4.4,ATI,80,80.0,104.0 GFLOPS,5.0
2011,TSMC,40 nm,716 million,118 mm²,End-of-life,650 MHz,"500 MHz
1000 Mbps effective",1024 MB,GDDR3,128 bit,16.00 GB/s,16.0,4.0,2.600 GPixel/s,10.40 GTexel/s,Single-slot,39 W,"1x DVI
1x HDMI 1.3a
1x VGA",None,11.2 (11_0),4.4,ATI,320,320.0,416.0 GFLOPS,5.0
2011,TSMC,40 nm,627 million,104 mm²,End-of-life,650 MHz,"390 MHz
780 Mbps effective",1024 MB,GDDR3,128 bit,12.48 GB/s,16.0,8.0,5.200 GPixel/s,10.40 GTexel/s,Single-slot,39 W,"1x DVI
1x HDMI 1.3a
1x VGA",None,11.2 (11_0),4.4,ATI,320,320.0,416.0 GFLOPS,5.0
2011,TSMC,40 nm,627 million,104 mm²,End-of-life,775 MHz,"1000 MHz
2 Gbps effective",1024 MB,GDDR3,128 bit,32.00 GB/s,20.0,8.0,6.200 GPixel/s,15.50 GTexel/s,Single-slot,64 W,"1x DVI
1x HDMI 1.3a
1x VGA",,11.2 (11_0),4.4,ATI,400,400.0,620.0 GFLOPS,5.0
2011,TSMC,40 nm,627 million,104 mm²,End-of-life,775 MHz,"1000 MHz
4 Gbps effective",1024 MB,GDDR5,128 bit,64.00 GB/s,20.0,8.0,6.200 GPixel/s,15.50 GTexel/s,Single-slot,64 W,"1x DVI
1x HDMI 1.3a
1x VGA",,11.2 (11_0),4.4,ATI,400,400.0,620.0 GFLOPS,5.0
2010,TSMC,40 nm,292 million,59 mm²,End-of-life,500 MHz,"500 MHz
1000 Mbps effective",512 MB,DDR3,256 bit,32.00 GB/s,8.0,4.0,2.000 GPixel/s,4.000 GTexel/s,Single-slot,17 W,4x mini-DisplayPort 1.1,None,11.2 (11_0),4.4,ATI,80,80.0,80.00 GFLOPS,5.0
2010,TSMC,40 nm,627 million,104 mm²,End-of-life,650 MHz,"800 MHz
3.2 Gbps effective",1024 MB,GDDR5,128 bit,51.20 GB/s,20.0,8.0,5.200 GPixel/s,13.00 GTexel/s,,26 W,No outputs,,11.2 (11_0),4.4,ATI,400,400.0,520.0 GFLOPS,5.0
2010,TSMC,40 nm,"1,040 million",166 mm²,End-of-life,700 MHz,"1000 MHz
4 Gbps effective",1024 MB,GDDR5,128 bit,64.00 GB/s,40.0,16.0,11.20 GPixel/s,28.00 GTexel/s,MXM Module,50 W,No outputs,None,11.2 (11_0),4.4,ATI,800,800.0,"1,120 GFLOPS",5.0
2010,TSMC,55 nm,242 million,73 mm²,End-of-life,500 MHz,"800 MHz
1600 Mbps effective",512 MB,GDDR3,256 bit,51.20 GB/s,8.0,4.0,2.000 GPixel/s,4.000 GTexel/s,Single-slot,35 W,1x DMS-59,None,10.1 (10_1),3.3,ATI,80,80.0,80.00 GFLOPS,4.1
2010,TSMC,40 nm,627 million,104 mm²,End-of-life,650 MHz,"900 MHz
1800 Mbps effective",512 MB,DDR3,64 bit,14.40 GB/s,20.0,8.0,5.200 GPixel/s,13.00 GTexel/s,Single-slot,43 W,"1x DVI
1x DisplayPort 1.1",None,11.2 (11_0),4.4,ATI,400,400.0,520.0 GFLOPS,5.0
2010,TSMC,40 nm,627 million,104 mm²,End-of-life,775 MHz,"900 MHz
3.6 Gbps effective",1024 MB,GDDR5,128 bit,57.60 GB/s,20.0,8.0,6.200 GPixel/s,15.50 GTexel/s,Single-slot,69 W,"1x DVI
2x DisplayPort 1.1",None,11.2 (11_0),4.4,ATI,400,400.0,620.0 GFLOPS,5.0
2010,TSMC,40 nm,"1,040 million",166 mm²,End-of-life,690 MHz,"1000 MHz
4 Gbps effective",1024 MB,GDDR5,128 bit,64.00 GB/s,40.0,16.0,11.04 GPixel/s,27.60 GTexel/s,Single-slot,74 W,"1x DVI
2x DisplayPort 1.1",None,11.2 (11_0),4.4,ATI,800,800.0,"1,104 GFLOPS",5.0
2010,TSMC,40 nm,"1,040 million",166 mm²,End-of-life,690 MHz,"1000 MHz
4 Gbps effective",1024 MB,GDDR5,128 bit,64.00 GB/s,40.0,16.0,11.04 GPixel/s,27.60 GTexel/s,Single-slot,74 W,2x DVI,None,11.2 (11_0),4.4,ATI,800,800.0,"1,104 GFLOPS",5.0
